device_name,applicant,decision_date,k_number,decision_description,contact,product_code,country_code,year,product_description
TRANS-AIRE RIGID GAS PERMABLE CONTACT LENS,RAND SCIENTIFIC CORP.,1996-03-28,K955366,Substantially Equivalent,DUANE  TRACY,HQD,US,1996,"Lens, Contact (Other Material) - Daily"
Samfilcon B Custom Contact Lens,"Bausch + Lomb, Incorporated",2023-11-17,K230954,Substantially Equivalent,Barbara  Klube-Falso,LPL,US,2023,"Lenses, Soft Contact, Daily Wear"
Vexillum (olifilcon B) with Tangible Polymers Silicone Hydrogel Soft Contact Lens; Daily Breeze (olifilcon B) Silicone Hydrogel Soft Contact Lens,Visco Vision Inc,2018-09-19,K181349,Substantially Equivalent,Evan  Huang,LPL,TW,2018,"Lenses, Soft Contact, Daily Wear"
BAUSCH & LOMB SOFLENS ONE DAY DISPOSABLE (HILAFILCON A) VISIBILITY TINTED CONTACT,"BAUSCH & LOMB, INC.",2001-07-25,K011718,Substantially Equivalent,DEBRA  KETCHUM,MVN,US,2001,"Lens, Contact, (Disposable)"
"SPECIALTY 55 UV (METHAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR, SPECIALTY 55 UV MULTIFOCAL (METHAFILCON)","SPECIALTY ULTRAVISION, INC.",2001-02-12,K003526,Substantially Equivalent,GAROLD L EDWARDS,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
"BOSTON XO (hexafocon A), BOSTON XO2 (hexafocon B)",BAUSCH + LOMB Incorporated,2017-07-17,K171404,Substantially Equivalent,Glenn A. Davies,HQD,US,2017,"Lens, Contact (Other Material) - Daily"
"HAAG-STREIT CONTACT GLASSES STERY CUP, ACCESSORY","HAAG-STREIT USA, INC.",2005-06-07,K051103,Substantially Equivalent,EDUARDO  MARCH,HJK,US,2005,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
"CONTAFLEX GM3 58% (ACOFILCON A) SPHERICAL SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED, LATHE-CUT)",CONTAMAC LTD.,2002-12-24,K023349,Substantially Equivalent,MARTIN  DALSING,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
SPECIALTY T TORIC (OCUFILCON A) CONTACT LENS FOR DAILY WEAR,"SPECIALTY ULTRAVISION, INC.",1997-01-30,K963764,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
"FOCUS DAILIES, FOCUS DAILIES TORIC AND FOCUS DAILIES PROGRESSIVES",CIBA VISION CORPORATION,2005-05-27,K050065,Substantially Equivalent,"PENNY  NORTHCUTT, RAC",MVN,US,2005,"Lens, Contact, (Disposable)"
MARCO STANDARD RADIUSGAUGES,"MARCO OPHTHALMIC, INC.",1993-08-09,K930437,Substantially Equivalent,WAYNE  STARLING,HLF,US,1993,"Device, Measuring, Lens Radius, Ophthalmic"
"S38 (POLYMACON) SPHERICAL, ASPHERICAL, TORIC AND MULTIFOCAL SOFT CONTACT LENS FOR DAILY WEAR(CLEAR AND TINTED, FULLY-","BESCON CO., LTD.",2001-07-09,K002099,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
IGEL 55 TORIC (METHAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,IGEL VISION CARE PTE LTD.,2002-09-04,K021907,Substantially Equivalent,DEBBIE  MCINTIRE,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
ACUVUE (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS CLEAR AND VISIBILITY TINTED WITH UV BLOCKER,"VISTAKON, JOHNSON & JOHNSON VISION PRODUCTS, INC.",2000-02-23,K994324,Substantially Equivalent,SHARON  BRIGGS,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
STAURENGHI WIDE FIELD SCANNING LASER LENS,"OCULAR INSTRUMENTS, INC.",2002-03-04,K014170,Substantially Equivalent,RAYMOND  GRAHAM,HJK,US,2002,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
SAUFLON NEW DAY (METHAFILCON A) SOFT (HYDROPHILIC) DAILY DISPOSABLE CONTACT LENSES,"SAUFLON PHARMACEUTICALS, LTD.",2006-05-15,K052832,Substantially Equivalent,TANYA  FAIR,MVN,GB,2006,"Lens, Contact, (Disposable)"
CONTACT LENS WITH COLOR ADDITIVE,CAL BIONICS,1996-11-29,K962911,Substantially Equivalent,"HARBO P JENSEN, PH.D.",LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
"BOSTON XO (HEXAFOCON A), BOSTON EO (ENFLUFOCON B)  AND BOSTON ES (ENFLUFOCON A) RIGID GAS PERMEABLE CONTACT LENSES","BAUSCH & LOMB, INC.",2007-08-02,K071043,Substantially Equivalent,DEBRA  KETCHUM,HQD,US,2007,"Lens, Contact (Other Material) - Daily"
"Largan (hioxifilcon A) Daily Wear Soft (hydrophilic) Contact Lens, Largan (hioxifilcon A) Daily Wear Soft (hydrophilic) Contact Lens for ASTIGMATISM, Largan (hioxifilcon A) Daily Wear Soft (Hydrophilic) Contact Lens for PRESBYOPIA",Largan Medical Co. Ltd.,2017-09-18,K170286,Substantially Equivalent,Amy  Tien,LPL,TW,2017,"Lenses, Soft Contact, Daily Wear"
BIOMEDICS 55 (OCUFILCON D) UV BLOCKING SOFT (HYDROPHILIC) CONTACT LENS,"OCULAR SCIENCES PUERTO RICO, INC.",1999-01-29,K982947,Substantially Equivalent,RICHARD E LIPPMAN,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
OXYCON LENS,CONCISE CONTACT LENS CO.,1999-04-14,K990895,Substantially Equivalent,DANIEL J MANELLI,HQD,US,1999,"Lens, Contact (Other Material) - Daily"
Optimum Infinite (tisilfocon A) Daily Wear Contact Lenses,Contamac Ltd.,2022-03-17,K212631,Substantially Equivalent,Rob  McGregor,HQD,GB,2022,"Lens, Contact (Other Material) - Daily"
"IntelliWave3, Silicone Hydrogel Daily Wear Soft Contact Lens (efrofilcon A)","Art Optical Contact Lens, Inc.",2023-09-06,K230824,Substantially Equivalent,Jill  Anastor,LPL,US,2023,"Lenses, Soft Contact, Daily Wear"
TORIC LITE LENS,SOFLEX CONTACT LENS INDUSTRIES LTD.,2001-07-17,K011256,Substantially Equivalent,Kevin  Walls,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
"MIGWANG COMFORT 38 (POLYMACON) SPHERICAL AND TORIC SOFT CONTACT LENS FOR DAILY WEAR (CLEAR, TINTED AND COSMETIC)","MI GWANG CONTACT LENS CO., LTD.",2006-03-10,K051477,Substantially Equivalent,MARTIN  DALSING,LPL,US,2006,"Lenses, Soft Contact, Daily Wear"
GELFLEX DELTA 55 (METHAFILCON A) HYDROPHILIC CONTACT LENS,GELFLEX LABORATORIES,1996-09-05,K962710,Substantially Equivalent,PETER G BRYANT,LPL,AU,1996,"Lenses, Soft Contact, Daily Wear"
VISTAKON (GALYFILCON A) SOFT CONTACT LENS,"JOHNSON & JOHNSON VISION CARE, INC.",2003-10-16,K032340,Substantially Equivalent,JACQUELINE  ZIMOVAN,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
Flexlens Silicone Hydrogel Daily Wear Soft (Hydrophilic) Contact Lens (efrofilcon A),"X-Cel Specialty Contacts, A Walman Optical Company",2024-08-14,K242059,Substantially Equivalent,Hue  Tang,LPL,US,2024,"Lenses, Soft Contact, Daily Wear"
"MARIETTA CONTACT LENS SERVICE, COLOR ENHANCED TINTED SOFT CONTACT LENS",MARIETTA CONTACT LENS SERVICE,2000-09-13,K002647,Substantially Equivalent,MARTIN  DALSING,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
Vexillum Zephyr (olifilcon A) with Tangible Polymers Spherical/Toric/Multifocal Silicone Hydrogel Soft Contact Lens ; OxyPure A (olifilcon A) Spherical/Toric/Multifocal Silicone Hydrogel Soft Contact Lens,Visco Vision Inc,2019-09-13,K183670,Substantially Equivalent,Evan  Huang,LPL,TW,2019,"Lenses, Soft Contact, Daily Wear"
BIOMEDICS (OCUFILCON D) SOFT (HYDROPHILIC) CONTACT LENS,"COOPERVISION, INC.",2010-01-05,K091339,Substantially Equivalent,LISA  HAHN,LPL,US,2010,"Lenses, Soft Contact, Daily Wear"
FREESOFT (POLYMACON) SOFT (HYDROPHILIC) ASPHERIC CONTACT LENS,"UNILENS CORP., USA",1996-03-28,K960376,Substantially Equivalent,JOSEPHA  BRUNO,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
RIGID GAS PERMEABLE CONTACT LENS SOLUTION,POLYMER TECHNOLOGY CORP.,2001-09-12,K011945,Substantially Equivalent,DEBRA L.B.  KETCHUM,HQD,US,2001,"Lens, Contact (Other Material) - Daily"
"ACUVUE 2 BRAND (ETAFILCON A) CONTACT LENS, WITH UV BLOCKER TINTED (TO MASK OR ENHANCE THE NATURAL IRIS COLOR)","JOHNSON & JOHNSON VISION CARE, INC.",2001-04-11,K010114,Substantially Equivalent,SHARON  BRIGGS,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
EZVUE (OCUFILCON D) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,I-SEE VISION TECHNOLOGY INC,2009-06-16,K082879,Substantially Equivalent,JENNIFER  REICH,LPL,US,2009,"Lenses, Soft Contact, Daily Wear"
"iSee (roflufocon D, roflufocon E) Daily Wear Orthokeratology Contact Lenses","C&E GP Specialist, Inc.",2019-01-09,K183200,Substantially Equivalent,Steve  Wagner,MUW,US,2019,"Lens, Contact (Orthokeratology)"
DISPOSABLE VITRECTOMY LENS,"OCULAR INSTRUMENTS, INC.",2001-08-24,K012096,Substantially Equivalent,RAYMOND  GRAHAM,HJK,US,2001,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
"FLUOREX 700 -UV (FLUSILFOCON A), FLUOREX 500-UV (FLUSILFOCON B) AND FLUOREX 300-UV (FLUSILFOCON C) RIGID GAS PERMEABLE C","G.T. LABORATORIES, INC.",1999-06-29,K991780,Substantially Equivalent,JOHN M SZABOCSIK,HQD,US,1999,"Lens, Contact (Other Material) - Daily"
"Largan 55 (methafilcon A) Daily Wear Soft (hydrophilic) Contact Lens, Largan 55 (methafilcon A) Daily Wear Soft (hydrophilic) Contact Lensfor ASTIGMATISM, Largan 55 (methafilcon A) Daily Wear Soft (hydrophilic) Contact Lens for PRESBYOPIA",Largan Medical Co. Ltd.,2018-06-25,K181230,Substantially Equivalent,Amy  Tien,LPL,TW,2018,"Lenses, Soft Contact, Daily Wear"
LIFESTYLE GP (TELEFOCON B) RIGID GAS PERMEABLE MULTIFOCAL CONTACT LENS FOR DAILY WEAR,"PERMEABLE TECHNOLOGIES, INC.",1996-11-20,K963010,Substantially Equivalent,MARTIN S KNOPF,HQD,US,1996,"Lens, Contact (Other Material) - Daily"
Bausch + Lomb (kalifilcon A) Soft (hydrophilic) Contact Lens for Presbyopia,Bausch & Lomb Incorporated,2021-05-24,K210975,Substantially Equivalent,Barbara  Klube-Falso,LPL,US,2021,"Lenses, Soft Contact, Daily Wear"
PROCLEAR (OMAFILCON A) SOFT HYDROPHILIC) CONTACT LENS,"COOPERVISION, INC.",2013-05-30,K123202,Substantially Equivalent,KARIN  GASTINEAU,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
UNILENS 38 SOFT ASPHERIC CONTACT LENS,"UNILENS CORP., USA",1994-07-07,K941836,Substantially Equivalent,JOSEPH  BRUNO,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
PAFLUFOCON C AND E DAILY CONTACT LENS,PARAGON VISION SCIENCES,2000-12-08,K002845,Substantially Equivalent,WILLIAM E MEYERS,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
VISTAKON (LENEFILCON A)CONTACT LENS CLEAR AND VISIBILITY TINT WITH UV BLOCKER,"VISTAKON, JOHNSON & JOHNSON VISION PRODUCTS, INC.",1999-01-26,K983912,Substantially Equivalent,SHARON A BRIGGS,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
ADDVANTAGE 38 ASPHERIC SOFT CONTACT LENS,"PREFERRED OPTICS, INC.",1994-08-05,K942302,Substantially Equivalent,PENNY  NORTHCUTT,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
FOCUS DAILIES PROGRESSIVES,CIBA VISION CORPORATION,2001-03-08,K003826,Substantially Equivalent,ALICIA M PLESNARSKI,MVN,US,2001,"Lens, Contact, (Disposable)"
50 DEGREE HRI PRISM LENS,"OCULAR INSTRUMENTS, INC.",1994-08-29,K941420,Substantially Equivalent,PHILLIP J ERICKSON,HJK,US,1994,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
PROCLEAR (OMAFILCON A) DAILY WEAR CONTACT LENS,"BIOCOMPATIBLES EYEWEAR, INC.",1998-04-16,K974408,Substantially Equivalent,LISA  HAHN,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
OCU-FLEX-53 CUSTOM PROSTHETIC (OCUFILCON B) SOFT CONTACT LENS,"OCU-EASE OPTICAL PRODUCTS, INC.",2002-04-26,K020690,Substantially Equivalent,CHARLES R VERMETTE,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
GEO MAGIC COLOR (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS,"GEO MEDICAL CO., LTD.",2012-04-26,K110835,Substantially Equivalent,ALBERT  REGO,LPL,US,2012,"Lenses, Soft Contact, Daily Wear"
VISTAKON (SENOFILCON A) SOFT CONTACT LENS,VISTAKON,2004-10-28,K042275,Substantially Equivalent,ANNETTE M HILLRING,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
PMMA CLASIC,RAND SCIENTIFIC CORP.,1996-05-16,K955777,Substantially Equivalent,DUANE  TRACY,HPX,US,1996,"Lens, Contact (Polymethylmethacrylate)"
"UltraHealth Hybrid Contact Lens for Keratoconus, UltraHealth Flat Cornea Hybrid Contact Lens","Synergeyes, Inc.",2014-11-19,K142510,Substantially Equivalent,Steven L. Ziemba,HQD,US,2014,"Lens, Contact (Other Material) - Daily"
LIFESTYLE MULTIVUE-S (POLYMACON) SOFT HYDROPHILIC CONTACT LENS,"PERMEABLE TECHNOLOGIES, INC.",1994-09-08,K942494,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
METHAFILCON A SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,"BIOCOMPATIBLES EYEWEAR, INC.",1998-03-23,K980218,Substantially Equivalent,LISA  HAHN,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
"ULTRA VUE 55/P & C (METHAFILCON A) SOFT (MULTIFOCAL, SPHERICAL, & TORIC) DAILY WEAR CONTACT LENS (CLEAR & BLUE VISIBILIT",OPTI-CENTRE LABORATORIES,2000-06-29,K001227,Substantially Equivalent,MARTIN  DALSING,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
EPICON (CARBOSILFOCON A) RIGID GAS PERMEABLE CONTACT LENS DAILY WEAR,"SPECIALTY ULTRAVISION, INC.",2000-02-02,K992787,Substantially Equivalent,IVALEE I COHEN,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
CONTINENTAL 45 (HEFILCON A) SPHERICAL & ASPHERIC CONTACT LENSES,"CONTINENTAL SOFT LENS, INC.",1994-08-11,K943490,Substantially Equivalent,WALLY  STIRLING,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
Largan 55 UV Color (Ocufilcon D) Daily Wear Soft (hydrophilic) Contact Lens,"Largan Medical Co., Ltd.",2018-11-01,K182523,Substantially Equivalent,Amy  Tien,LPL,TW,2018,"Lenses, Soft Contact, Daily Wear"
"Visionary Optics Scleral Contact Lens (roflufocon D, roflufocon E, hexafocon A, hexafocon B, tisilfocon A)",Visionary Optics LLC,2022-12-07,K223394,Substantially Equivalent,Donald R. Sanders,HQD,US,2022,"Lens, Contact (Other Material) - Daily"
AIRPERM(SIFLUFOCON A) RIGID GAS PERMEABLE MULTIFOCAL CONTACT LENSES FOR DAILY WEAR,"AIRPERM, INC.",1996-08-27,K962934,Substantially Equivalent,NICK  STOYAN,HQD,US,1996,"Lens, Contact (Other Material) - Daily"
SUPER VIEW DISPOSABLE BIOM LENS SET,"INSIGHT INSTRUMENTS, INC.",2005-06-29,K051630,Substantially Equivalent,MICHAEL  ANNEN,HJK,US,2005,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
SPECIALTY PROGRESSIVE(METHAFILCON A)MULTIFOCAL SOFT(HYDROPHILIC)CONTACT LENS FOR DAILY WEAR(CLEAR AND TINTED),"SPECIALTY ULTRAVISION, INC.",1996-11-20,K963488,Substantially Equivalent,GARY  EDWARDS,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
EYE SECRET 55 UV ASPHERIC (METHAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS,"YUNG SHENG OPTICAL CO., LTD.",2014-03-21,K133735,Substantially Equivalent,WEN-HAN  CHEN,LPL,TW,2014,"Lenses, Soft Contact, Daily Wear"
PVS BASIC 2; EPIC 2,PARAGON VISION SCIENCES,2002-04-25,K013310,Substantially Equivalent,WILLIAM E MEYERS,HQD,US,2002,"Lens, Contact (Other Material) - Daily"
